CAR_CUATRO,NCC_CUATRO,NCA_CUATRO,NCP_CUATRO,NAC_CUATRO,NAA_CUATRO,NAP_CUATRO,EPA_CUATRO,PROMEDIO_CINCO,NOTA_L_UNO,VECES_L_UNO,CREDITOS_L_UNO,NOTA_PYE_UNO,VECES_PYE_UNO,CREDITOS_PYE_UNO,NOTA_VARCOM,VECES_VARCOM,CREDITOS_VARCOM,NOTA_EL_DOS,VECES_EL_DOS,CREDITOS_EL_DOS,NOTA_PROGAPL,VECES_PROGAPL,CREDITOS_PROGAPL,NOTA_CAMPOS,VECES_CAMPOS,CREDITOS_CAMPOS,NOTA_FCD,VECES_FCD,CREDITOS_FCD
1,17,6,11,5,4,1,2,6.66667E+14,0,0,2,0,0,2,19.25,4,2,3,1,3,30,1,3,3,1,2,30,1,3
2,17,11,6,6,4,2,2,35.25,36,1,2,0,0,2,22.33333333,3,2,40,1,3,40,1,3,23,2,2,30,1,3
1,17,13,4,5,4,1,1,28,0,0,2,0,0,2,50,1,2,46,1,3,45,1,3,34,2,2,44,1,3
1,17,3,14,2,1,1,2,0,0,0,2,0,0,2,0,0,2,0,0,3,30,1,3,0,0,2,18.33333333,3,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
1,17,3,14,3,2,1,2,7.25,0,0,2,0,0,2,15,1,2,0,0,3,30,1,3,0,0,2,27.5,2,3
1,17,3,14,2,1,1,2,3.75,0,0,2,0,0,2,0,0,2,0,0,3,35,1,3,0,0,2,22.5,2,3
0,17,13,4,5,5,0,1,4.36667E+14,0,0,2,0,0,2,40,1,2,35,1,3,45,1,3,35,1,2,45,1,3
0,17,13,4,5,5,0,2,2.53611E+14,0,0,2,0,0,2,30,1,2,39,1,3,40,1,3,30,1,2,30,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
1,17,13,4,5,4,1,2,3.66667E+14,0,0,2,0,0,2,30,1,2,31,1,3,35,2,3,35,1,2,35,1,3
0,17,13,4,5,5,0,1,4.13333E+14,0,0,2,0,0,2,30,1,2,35,1,3,40,1,3,35,1,2,40,1,3
